package,breaking_version,ecosystem,label_breaking,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,R0,propagation_class,r_squared,first_issue_hours
superagent,6.0.0,npm,1,0.0,0.0280192626934177,0.0,0.0,0.0070048156733544,0.0105926427458837,SAFE,,,,
superagent,7.0.0,npm,1,0.0,0.0280192626934177,0.0,0.0,0.0070048156733544,0.0105926427458837,SAFE,,,,
superagent,8.0.0,npm,1,0.0,0.0280192626934177,0.0,0.0,0.0070048156733544,0.0105926427458837,SAFE,,,,
superagent,9.0.0,npm,1,0.0,0.0280192626934177,0.0,0.0,0.0070048156733544,0.0105926427458837,SAFE,,,,
html-webpack-plugin,1.0.0,npm,1,0.0,0.0220639211300551,0.0,0.0,0.0055159802825137,0.0083412342666295,SAFE,,,,
html-webpack-plugin,3.0.0,npm,1,0.0,0.0220639211300551,0.0,0.0,0.0055159802825137,0.0083412342666295,SAFE,,,,
nodemailer,1.0.0,npm,1,0.9091,0.0217134219714413,0.0,0.0,0.2327033554928603,0.320861516096309,SAFE,,,,
nodemailer,2.0.0,npm,1,0.0,0.0217134219714413,0.0,0.0,0.0054283554928603,0.0082087285540219,SAFE,,,,
request,2.0.0,npm,1,0.0,0.0208377607292184,0.0,0.0,0.0052094401823046,0.0078776860563383,SAFE,,,,
supertest,1.0.0,npm,1,0.0,0.020283687653052,0.0,0.0,0.005070921913263,0.0076682195112988,SAFE,,,,
supertest,2.0.0,npm,1,0.0,0.020283687653052,0.0,0.0,0.005070921913263,0.0076682195112988,SAFE,,,,
supertest,3.0.0,npm,1,0.0,0.020283687653052,0.0,0.0,0.005070921913263,0.0076682195112988,SAFE,,,,
supertest,5.0.0,npm,1,0.0,0.020283687653052,0.0,0.0,0.005070921913263,0.0076682195112988,SAFE,,,,
supertest,7.0.0,npm,1,0.0,0.020283687653052,0.0,0.0,0.005070921913263,0.0076682195112988,SAFE,,,,
connect,1.0.0,npm,1,0.32,0.0202706893977327,0.0,0.0,0.0850676723494331,0.1177159862272848,SAFE,,,,
